gram;vector;code
NEC MultiSync EA223WM;[1, 4, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0];1
MultiSync EA223WM LED;[2, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
EA223WM LED monitor;[3, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
LED monitor Xpcprocom;[4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Asus VG278HE 27;[0, 11, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0];1
VG278HE 27 3D;[1, 10, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
27 3D Ready;[2, 9, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
3D Ready LCD;[3, 8, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
Ready LCD Monitor;[4, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
LCD Monitor 16;[5, 6, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Monitor 16 9;[6, 5, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
16 9 2;[7, 4, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
9 2 MS;[8, 3, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
2 MS 886227206193;[9, 2, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
MS 886227206193 eBay;[10, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
OHC24 Shop Monitor;[0, 9, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Shop Monitor Monitor;[1, 8, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Monitor Monitor search;[2, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Monitor search help;[3, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
search help Samsung;[4, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
help Samsung Monitor;[5, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Samsung Monitor 215Smaster;[6, 3, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
Monitor 215Smaster S22C650D;[7, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
215Smaster S22C650D LS22C65UDCEN;[8, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1];0
OHC24 Shop Monitor;[0, 15, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Shop Monitor Monitor;[1, 14, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Monitor Monitor search;[2, 13, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Monitor search help;[3, 12, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
search help NEC;[4, 11, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
help NEC E243WMI;[5, 10, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
NEC E243WMI LED6096CM;[6, 9, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0];1
E243WMI LED6096CM 24IN;[7, 8, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1];0
LED6096CM 24IN ANADI;[8, 7, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0];0
24IN ANADI 61;[9, 6, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0];0
ANADI 61 cm;[10, 5, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
61 cm 24;[11, 4, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
cm 24 1920;[12, 3, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
24 1920 x;[13, 2, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
1920 x 60003682;[14, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Asus VN279Q 27inch;[0, 13, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0];1
VN279Q 27inch Wide;[1, 12, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
27inch Wide 5ms;[2, 11, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
Wide 5ms 100M;[3, 10, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
5ms 100M 1;[4, 9, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
100M 1 1920x1080;[5, 8, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0];0
1 1920x1080 HDCP;[6, 7, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0];0
1920x1080 HDCP HDMI;[7, 6, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
HDCP HDMI SPK;[8, 5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0];0
HDMI SPK LED;[9, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0];0
SPK LED LCD;[10, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0];0
LED LCD Monitor;[11, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
LCD Monitor eBay;[12, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
241B4LPCB00 2547741 Philips;[0, 6, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0];0
2547741 Philips LCD;[1, 5, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0];1
Philips LCD Monitor;[2, 4, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
LCD Monitor IML;[3, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Monitor IML Direct;[4, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
IML Direct Italy;[5, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
New Allen Bradley;[0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Allen Bradley 2711P;[1, 12, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];1
Bradley 2711P T6M20D;[2, 11, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
2711P T6M20D D;[3, 10, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0];0
T6M20D D Pkg;[4, 9, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
D Pkg 2012;[5, 8, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Pkg 2012 PanelView;[6, 7, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
2012 PanelView Plus;[7, 6, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
PanelView Plus 600;[8, 5, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
Plus 600 Gray;[9, 4, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
600 Gray Touch;[10, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Gray Touch RS232;[11, 2, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
Touch RS232 eBay;[12, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0];0
Apple Cinema HD;[0, 12, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0];0
Cinema HD Display;[1, 11, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0];0
HD Display 23;[2, 10, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
Display 23 inch;[3, 9, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0];0
23 inch 23;[4, 8, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0];0
inch 23 Widescreen;[5, 7, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0];0
23 Widescreen Model;[6, 6, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Widescreen Model A1082;[7, 5, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
Model A1082 M9178LL;[8, 4, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
A1082 M9178LL A;[9, 3, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0];1
M9178LL A 718908807057;[10, 2, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0];0
A 718908807057 eBay;[11, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Buy 3M 15;[0, 14, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0];0
3M 15 MicroTouch;[1, 13, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0];0
15 MicroTouch C1500SS;[2, 12, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
MicroTouch C1500SS LCD;[3, 11, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];1
C1500SS LCD Touch;[4, 10, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
LCD Touch Screen;[5, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Touch Screen Monitor;[6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Screen Monitor Monitors;[7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Monitor Monitors LCD;[8, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Monitors LCD 117131522501;[9, 5, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
LCD 117131522501 today;[10, 4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
117131522501 today at;[11, 3, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
today at PC;[12, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
at PC Connection;[13, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
AOC International AOC;[0, 10, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0];0
International AOC E960SRDA;[1, 9, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0];0
AOC E960SRDA 19;[2, 8, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0];1
E960SRDA 19 LED;[3, 7, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
19 LED LCD;[4, 6, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
LED LCD Monitor;[5, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
LCD Monitor 5;[6, 4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Monitor 5 4;[7, 3, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
5 4 685417060085;[8, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
4 685417060085 eBay;[9, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Samsung S24C450D 24;[0, 10, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0];1
S24C450D 24 LED;[1, 9, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0];0
24 LED LCD;[2, 8, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
LED LCD Monitor;[3, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
LCD Monitor 169;[4, 6, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Monitor 169 5;[5, 5, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
169 5 ms;[6, 4, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
5 ms by;[7, 3, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
ms by Office;[8, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
by Office Depot;[9, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
OHC24 Shop Monitor;[0, 9, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Shop Monitor Monitor;[1, 8, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Monitor Monitor search;[2, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Monitor search help;[3, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
search help Samsung;[4, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
help Samsung Monitor;[5, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Samsung Monitor 215Smaster;[6, 3, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
Monitor 215Smaster S22C650D;[7, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
215Smaster S22C650D LS22C65UDCEN;[8, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1];0
246V5LHAB00 2716391 Philips;[0, 6, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0];0
2716391 Philips LCD;[1, 5, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
Philips LCD Monitor;[2, 4, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
LCD Monitor IML;[3, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Monitor IML Direct;[4, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
IML Direct Italy;[5, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Philips 273V5LHSB MrHighTech;[0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0];1
273V5LHSB MrHighTech Shop;[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Dell Monitor E1913S;[0, 8, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
Monitor E1913S Brand;[1, 7, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
E1913S Brand New;[2, 6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
Brand New in;[3, 5, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
New in SEALED;[4, 4, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
in SEALED Box;[5, 3, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
SEALED Box 884116087489;[6, 2, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Box 884116087489 eBay;[7, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
AOC e2260Swda 215inch;[0, 9, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0];1
e2260Swda 215inch LED;[1, 8, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
215inch LED Monitor;[2, 7, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
LED Monitor Compare;[3, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Monitor Compare Prices;[4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Compare Prices Save;[5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Prices Save shopping;[6, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];0
Save shopping in;[7, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
shopping in Australia;[8, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
OHC24 Shop Monitor;[0, 15, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Shop Monitor Monitor;[1, 14, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Monitor Monitor search;[2, 13, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Monitor search help;[3, 12, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
search help NEC;[4, 11, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
help NEC E243WMI;[5, 10, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
NEC E243WMI LED6096CM;[6, 9, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0];1
E243WMI LED6096CM 24IN;[7, 8, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1];0
LED6096CM 24IN ANADI;[8, 7, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0];0
24IN ANADI 61;[9, 6, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0];0
ANADI 61 cm;[10, 5, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
61 cm 24;[11, 4, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
cm 24 1920;[12, 3, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
24 1920 x;[13, 2, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
1920 x 60003681;[14, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Philips Philips 273V5LHSB;[0, 5, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];0
Philips 273V5LHSB 273V5LHSB;[1, 4, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
273V5LHSB 273V5LHSB 00;[2, 3, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
273V5LHSB 00 Planet;[3, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0];0
00 Planet Computerit;[4, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Elo 1515L 15inch;[0, 10, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0];1
1515L 15inch Touch;[1, 9, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
15inch Touch LCD;[2, 8, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
Touch LCD Monitor;[3, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
LCD Monitor Compare;[4, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Monitor Compare Prices;[5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Compare Prices Save;[6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Prices Save shopping;[7, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];0
Save shopping in;[8, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
shopping in Australia;[9, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
Buy Samsung 215;[0, 14, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Samsung 215 S22D300HY;[1, 13, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0];1
215 S22D300HY Full;[2, 12, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
S22D300HY Full HD;[3, 11, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0];0
Full HD LEDLCD;[4, 10, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
HD LEDLCD Monitor;[5, 9, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
LEDLCD Monitor Black;[6, 8, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Monitor Black Monitors;[7, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Black Monitors LEDLCD;[8, 6, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Monitors LEDLCD S22D300HY;[9, 5, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
LEDLCD S22D300HY today;[10, 4, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
S22D300HY today at;[11, 3, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
today at PC;[12, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
at PC Connection;[13, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
Asus VE278H 27inch;[0, 9, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0];1
VE278H 27inch LED;[1, 8, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
27inch LED Monitor;[2, 7, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
LED Monitor Compare;[3, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Monitor Compare Prices;[4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Compare Prices Save;[5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Prices Save shopping;[6, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];0
Save shopping in;[7, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
shopping in Australia;[8, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
